"","Date","TrapID","New_Recap","Species","Sex","Age","Weight","Comments","NA","NA","NA","NA","NA","Pregnant","Lactating","Breeding"
"109",2011-06-06,"2I",NA,"Tamias amoenus",NA,NA,NA,"Escaped,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"110",2011-06-06,"2J","Recapture","Peromyscus maniculatus","Male","Adult",20,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"111",2011-06-06,"2K","Recapture","Peromyscus maniculatus","Female","Adult",25,"Agg=3,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,TRUE,TRUE,NA
"112",2011-06-06,"2L","New","Peromyscus maniculatus","Male","Adult",18.5,"Agg=2, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"113",2011-06-06,"2M","Recapture","Myodes gapperi","Male","Adult",20,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"114",2011-06-06,"1T","New","Myodes gapperi","Male","Adult",19,"Agg=1, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"115",2011-06-06,"1R","Recapture","Peromyscus maniculatus","Female","Adult",21.5,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"116",2011-06-06,"1Q","Recapture","Myodes gapperi","Male","Adult",17.5,"Agg=2, Pisser,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"117",2011-06-06,"1O","Recapture","Peromyscus maniculatus","Female","Adult",18,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"118",2011-06-06,"1C","New","Zapus princeps","Male","Adult",28,"Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"119",2011-06-06,"1D","Recapture","Peromyscus maniculatus","Female","Adult",20,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"120",2011-06-06,"1E","Recapture","Peromyscus maniculatus","Female","Adult",19,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"121",2011-06-06,"1F","New","Myodes gapperi","Female","Adult",16.5,"Agg=1, hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"122",2011-06-06,"1G","Recapture","Peromyscus maniculatus","Female","Adult",19.5,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"123",2011-06-06,"1H","Recapture","Peromyscus maniculatus","Male","Adult",14.5,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"124",2011-06-06,"1J","New","Peromyscus maniculatus","Female","Adult",22.5,"Agg=2, no hair, escaped :(,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"125",2011-06-06,"1K","Recapture","Peromyscus maniculatus","Female","Adult",17.5,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"126",2011-06-06,"1L","Recapture","Peromyscus maniculatus","Female","Adult",18,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"127",2011-06-08,"1C","Recapture","Peromyscus maniculatus","Female","Adult",18.5,"Agg=3,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"128",2011-06-08,"1G","New","Peromyscus maniculatus","Male","Adult",20.5,"Agg=3, hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"129",2011-06-08,"1I","Recapture","Peromyscus maniculatus","Male","Adult",17.5,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"130",2011-06-08,"1J","Recapture","Peromyscus maniculatus","Female","Adult",26,"fatty, Agg=3,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,TRUE,TRUE,NA
"131",2011-06-08,"1K","Recapture","Peromyscus maniculatus","Female","Adult",24,"medium fat, Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,TRUE,TRUE,NA
"132",2011-06-08,"1M","New","Myodes gapperi","Female","Adult",16,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"133",2011-06-08,"1O","Recapture","Peromyscus maniculatus","Female","Adult",17,"Agg=4,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"134",2011-06-08,"1R","Recapture","Peromyscus maniculatus","Female","Adult",25.5,"Mongo, no score,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"135",2011-06-08,"1S","Recapture","Peromyscus maniculatus","Female","Adult",27.5,"Mongo, Agg=3,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,TRUE,TRUE,NA
"136",2011-06-08,"1E","Recapture","Peromyscus maniculatus","Male","Adult",32.5,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"137",2011-06-08,"1H","Recapture","Myodes gapperi","Male","Adult",17,"Agg=2, added 8001,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"138",2011-06-08,"1L","Recapture","Peromyscus maniculatus","Female","Adult",18,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
